,Unnamed: 0,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,house_age,city_rank,PC 1,PC 2,PC 3,Cluster
0,0,2014,221900,3,1.0,1180,5650,1.0,0,0,3,7,1955,0,98178,59,10.0,-318809.6049839428,-6198.063258544504,-10599.230773619565,2
1,1,2014,538000,3,2.25,2570,7242,2.0,0,0,3,7,1951,1991,98125,63,10.0,-2707.5593799701383,-7816.224771203643,-10752.449209501703,0
2,2,2015,180000,2,1.0,770,10000,1.0,0,0,3,6,1933,0,98028,82,14.0,-360663.8768612374,-1423.3871118555435,-10557.455399573111,2
3,3,2014,604000,4,3.0,1960,5000,1.0,0,0,5,7,1965,0,98136,49,10.0,63264.78995531285,-10730.427537890911,-10793.782957395606,0
4,4,2015,510000,3,2.0,1680,8080,1.0,0,0,3,8,1987,0,98074,28,4.0,-30699.385124862976,-6695.730067918989,-10731.175182833345,0
5,5,2014,1230000,4,4.5,5420,101930,1.0,0,0,3,11,2001,0,98053,13,5.0,690222.6521898633,79837.96596665288,-10658.304788549616,3
6,6,2014,257500,3,2.25,1715,6819,2.0,0,0,3,7,1995,0,98003,19,24.0,-283198.67869005736,-5389.734718986659,-10603.944965300681,2
7,7,2015,291850,3,1.5,1060,9711,1.0,0,0,3,7,1963,0,98198,52,10.0,-248822.26657015778,-2848.7405044014095,-10610.423861211792,2
8,8,2015,229500,3,1.0,1780,7470,1.0,0,0,3,7,1960,0,98146,55,10.0,-311190.4559158872,-4454.016332746787,-10584.256619402928,2
9,9,2015,323000,3,2.5,1890,6560,2.0,0,0,3,7,2003,0,98038,12,20.0,-217704.49451498542,-6314.161959908896,-10635.296296191627,2
10,10,2015,662500,3,2.5,3560,9796,1.0,0,0,3,8,1965,0,98007,50,3.0,121813.22694084178,-6525.55996890814,-10788.277973497767,0
11,11,2014,468000,2,1.0,1160,6000,1.0,0,0,4,7,1942,0,98115,72,10.0,-72719.19615266373,-8349.940671237215,-10714.246009765584,0
12,12,2014,310000,3,1.0,1430,19901,1.5,0,0,4,7,1927,0,98028,87,14.0,-230569.0143353042,7156.989151473797,-10566.741072580058,2
13,13,2014,400000,3,1.75,1370,9680,1.0,0,0,4,7,1977,0,98074,37,4.0,-140677.79916647708,-3978.407389309557,-10659.229660391813,2
14,14,2015,530000,5,2.0,1810,4850,1.5,0,0,3,7,1900,0,98107,115,10.0,-10733.048197430682,-10128.574172805063,-10745.899326604,0
15,15,2015,650000,4,3.0,2950,5000,2.0,0,3,3,9,1979,0,98126,36,10.0,109264.08002797654,-11195.697960823789,-10801.320164531851,0
16,16,2014,395000,3,2.0,1890,14040,2.0,0,0,3,7,1994,0,98019,20,17.0,-145632.30523337986,433.39481390758664,-10631.443662643496,2
17,17,2014,485000,4,1.0,1600,4300,1.5,0,0,4,7,1916,0,98103,98,10.0,-55736.60615859566,-10221.605801471474,-10722.971582006609,0
18,18,2014,189000,2,1.0,1200,9850,1.0,0,0,4,7,1921,0,98002,93,23.0,-351665.11949927435,-1663.894767640627,-10544.970202422784,2
19,19,2015,230000,3,1.0,1250,9774,1.0,0,0,4,7,1969,0,98003,46,24.0,-310667.98897064076,-2156.5614360360514,-10565.253667955423,2
20,20,2014,385000,4,1.75,1620,4980,1.0,0,0,4,7,1947,0,98133,67,10.0,-155724.32768052557,-8525.053682924388,-10664.910651060538,2
21,21,2014,2000000,3,2.75,3050,44867,1.0,0,4,3,9,1968,0,98040,46,2.0,1459597.4883461026,14945.314020520223,-11312.216068516344,3
22,22,2014,285000,5,2.5,2270,6300,2.0,0,0,3,8,1995,0,98092,19,23.0,-255704.43934726715,-6186.997492807525,-10602.17367318265,2
23,23,2014,252700,2,1.5,1070,9643,1.0,0,0,3,7,1985,0,98030,29,22.0,-287970.8443826677,-2518.7713064989894,-10574.359060799163,2
24,24,2014,329000,3,2.25,2450,6500,2.0,0,0,4,8,1985,0,98030,29,22.0,-211704.4350907983,-6433.862016078138,-10621.297129465194,2
25,25,2014,233000,3,2.0,1710,4697,1.5,0,0,5,6,1941,0,98002,73,23.0,-307718.94030869927,-7262.640962763439,-10582.070364380379,2
26,26,2014,937000,3,1.75,2450,2691,2.0,0,0,3,8,1915,0,98119,99,10.0,396224.4407218764,-16423.353949524935,-10951.841447067922,4
27,27,2014,667000,3,1.0,1400,1581,1.5,0,0,5,8,1909,0,98112,105,10.0,126225.71076073781,-14791.108856716135,-10820.564290242746,0
28,28,2014,438000,3,1.75,1520,6380,1.0,0,0,3,7,1948,0,98115,66,10.0,-102713.09538790278,-7664.200290804888,-10678.403244409097,0
29,29,2015,719000,4,2.5,2570,7173,2.0,0,0,3,8,2005,0,98052,10,5.0,178281.82824953026,-9725.241311158774,-10814.729346015856,4
30,30,2014,580500,3,2.5,2320,3980,2.0,0,0,3,8,2003,0,98027,11,8.0,39756.32088308035,-11510.69871460721,-10757.639186796663,0
31,31,2014,280000,2,1.5,1190,1265,3.0,0,0,3,7,2005,0,98133,9,10.0,-260757.2369856948,-11173.508726572662,-10618.225919365255,2
32,32,2014,687500,4,1.75,2330,5000,1.5,0,0,4,7,1929,0,98117,85,10.0,146761.0010958553,-11578.493520946913,-10806.517266547851,0
33,33,2014,535000,3,1.0,1090,3000,1.5,0,0,4,8,1929,0,98117,85,10.0,-5753.371326329067,-12031.1152762533,-10740.991343315938,0
34,34,2014,322500,4,2.75,2060,6659,1.0,0,0,3,7,1981,0,98058,33,19.0,-218203.15220476818,-6209.792488671955,-10608.893982031059,2
35,35,2014,696000,3,2.5,2300,3060,1.5,0,0,3,8,1930,2002,98115,84,10.0,155241.05742021676,-13604.935188367057,-10820.639924570107,4
36,36,2014,550000,4,1.0,1660,34848,1.0,0,0,1,5,1933,0,98052,81,5.0,9570.52243093445,19663.705324948423,-10597.799837404451,0
37,37,2014,640000,4,2.0,2360,6000,2.0,0,0,4,8,1904,0,98107,110,10.0,99273.75162493877,-10095.640785288293,-10772.256860164098,0
38,38,2015,240000,4,1.0,1220,8075,1.0,0,0,2,7,1969,0,98001,46,23.0,-300685.83384021616,-3957.2667750098344,-10559.326184478192,2
39,39,2014,605000,4,2.5,2620,7553,2.0,0,0,3,8,1996,0,98056,18,19.0,64291.859563195794,-8186.308205731873,-10743.730211815224,0
40,40,2014,625000,4,2.5,2570,5520,2.0,0,0,3,9,2000,0,98074,14,4.0,84270.04351517379,-10422.61740905162,-10762.588847023868,0
41,41,2014,775000,4,2.25,4220,24186,1.0,0,0,3,8,1984,0,98166,30,10.0,234454.6556260308,6721.302466062571,-10746.947594597294,4
42,42,2014,861990,5,2.75,3595,5639,2.0,0,0,3,9,2014,0,98053,0,5.0,321250.41878726514,-12710.299355825215,-10878.382425650374,4
43,43,2014,685000,3,1.0,1570,2280,2.0,0,0,3,7,1922,0,98119,92,10.0,144232.16127884045,-14274.797169615646,-10809.93949832379,0
44,44,2014,309000,3,1.0,1280,9656,1.0,0,0,4,6,1959,0,98058,55,19.0,-231673.3357659403,-3077.691070598829,-10581.614176972238,2
45,45,2014,488000,3,2.5,3160,13603,2.0,0,0,3,8,2003,0,98019,11,17.0,-52639.46321357726,-946.0330073458405,-10647.129841726332,0
46,46,2015,210490,3,1.0,990,8528,1.0,0,0,3,6,1966,0,98023,49,24.0,-330190.0565219232,-3204.9065149934595,-10534.966088841049,2
47,47,2014,785000,4,2.5,2290,13416,2.0,0,0,4,9,1981,0,98007,33,3.0,244341.279012753,-4154.336576867265,-10803.65466343703,4
48,48,2015,450000,3,1.75,1250,5963,1.0,0,0,4,7,1953,0,98115,62,10.0,-90718.4375547068,-8203.90723484731,-10667.681881191913,0
49,49,2015,1350000,3,2.5,2753,65005,1.0,1,2,5,9,1953,0,98070,62,13.0,809836.3049068595,41688.81628877139,-10856.76215496874,3
50,50,2014,228000,3,1.0,1190,9199,1.0,0,0,3,7,1955,0,98148,59,10.0,-312673.8184083745,-2711.5049479872196,-10536.134823887583,2
51,51,2015,345000,5,2.5,3150,9134,1.0,0,0,4,8,1966,0,98056,49,19.0,-195677.27699874964,-3961.1150828429295,-10587.573254981275,2
52,52,2014,600000,3,1.75,1410,4080,1.0,0,0,4,7,1950,0,98117,64,10.0,59254.71072147722,-11611.261860914043,-10749.314529368141,0
53,53,2015,585000,2,1.75,1980,8550,1.0,0,0,3,7,1981,0,98117,34,10.0,44301.94228300258,-6987.688099483416,-10717.60582314942,0
54,54,2015,920000,5,2.25,2730,6000,1.5,0,0,3,8,1927,0,98105,88,10.0,379259.48274604784,-12941.199587886937,-10898.687462533999,4
55,55,2014,885000,4,2.5,2830,5000,2.0,0,0,3,9,1995,0,98105,19,10.0,344251.3612895857,-13585.094259312273,-10883.560691500054,4
56,56,2014,292500,4,2.5,2250,4495,2.0,0,0,3,7,2008,0,98042,6,22.0,-248223.20331967765,-8068.317672651565,-10580.366010196354,2
57,57,2015,301000,3,2.5,2420,4750,2.0,0,0,3,8,2003,0,98042,12,22.0,-239720.7661073451,-7899.334803558628,-10581.882227414977,2
58,58,2014,951000,5,3.25,3250,14342,2.0,0,4,4,8,1968,0,98008,46,3.0,410343.53038857254,-4913.616367927385,-10870.31410227944,4
59,59,2015,430000,4,3.0,1850,9976,2.0,0,0,3,8,1991,0,98059,24,19.0,-110675.52655107893,-3986.4388406260505,-10625.324806404056,0
60,60,2014,650000,3,2.25,2150,21235,1.0,0,3,4,8,1959,0,98166,55,10.0,109427.7039987501,5036.089717193328,-10685.641717181725,0
61,61,2014,289000,3,1.75,1260,8400,1.0,0,0,3,7,1954,0,98148,60,10.0,-251685.06300414706,-4130.4378639703655,-10560.089517308543,2
62,62,2014,505000,3,1.75,2519,8690,2.0,0,0,5,8,1973,0,98166,41,10.0,-35691.421118837345,-6033.187817198031,-10664.209562434664,0
63,63,2014,549000,3,1.75,1540,1044,3.0,0,0,3,8,2014,0,98115,0,10.0,8226.806242663602,-14128.346654609695,-10725.07871025732,0
64,64,2014,425000,3,2.25,1660,6000,1.0,0,0,3,7,1979,0,98122,35,10.0,-115716.00210074318,-7911.846595791343,-10636.742188795879,0
