,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,house_age,city_rank
0,2014,221900,3,1.0,1180,5650,1.0,0,0,3,7,1955,0,98178,59,10.0
1,2014,538000,3,2.25,2570,7242,2.0,0,0,3,7,1951,1991,98125,63,10.0
2,2015,180000,2,1.0,770,10000,1.0,0,0,3,6,1933,0,98028,82,14.0
3,2014,604000,4,3.0,1960,5000,1.0,0,0,5,7,1965,0,98136,49,10.0
4,2015,510000,3,2.0,1680,8080,1.0,0,0,3,8,1987,0,98074,28,4.0
5,2014,1230000,4,4.5,5420,101930,1.0,0,0,3,11,2001,0,98053,13,5.0
6,2014,257500,3,2.25,1715,6819,2.0,0,0,3,7,1995,0,98003,19,24.0
7,2015,291850,3,1.5,1060,9711,1.0,0,0,3,7,1963,0,98198,52,10.0
8,2015,229500,3,1.0,1780,7470,1.0,0,0,3,7,1960,0,98146,55,10.0
9,2015,323000,3,2.5,1890,6560,2.0,0,0,3,7,2003,0,98038,12,20.0
10,2015,662500,3,2.5,3560,9796,1.0,0,0,3,8,1965,0,98007,50,3.0
11,2014,468000,2,1.0,1160,6000,1.0,0,0,4,7,1942,0,98115,72,10.0
12,2014,310000,3,1.0,1430,19901,1.5,0,0,4,7,1927,0,98028,87,14.0
13,2014,400000,3,1.75,1370,9680,1.0,0,0,4,7,1977,0,98074,37,4.0
14,2015,530000,5,2.0,1810,4850,1.5,0,0,3,7,1900,0,98107,115,10.0
15,2015,650000,4,3.0,2950,5000,2.0,0,3,3,9,1979,0,98126,36,10.0
16,2014,395000,3,2.0,1890,14040,2.0,0,0,3,7,1994,0,98019,20,17.0
17,2014,485000,4,1.0,1600,4300,1.5,0,0,4,7,1916,0,98103,98,10.0
18,2014,189000,2,1.0,1200,9850,1.0,0,0,4,7,1921,0,98002,93,23.0
19,2015,230000,3,1.0,1250,9774,1.0,0,0,4,7,1969,0,98003,46,24.0
20,2014,385000,4,1.75,1620,4980,1.0,0,0,4,7,1947,0,98133,67,10.0
21,2014,2000000,3,2.75,3050,44867,1.0,0,4,3,9,1968,0,98040,46,2.0
22,2014,285000,5,2.5,2270,6300,2.0,0,0,3,8,1995,0,98092,19,23.0
23,2014,252700,2,1.5,1070,9643,1.0,0,0,3,7,1985,0,98030,29,22.0
24,2014,329000,3,2.25,2450,6500,2.0,0,0,4,8,1985,0,98030,29,22.0
25,2014,233000,3,2.0,1710,4697,1.5,0,0,5,6,1941,0,98002,73,23.0
26,2014,937000,3,1.75,2450,2691,2.0,0,0,3,8,1915,0,98119,99,10.0
27,2014,667000,3,1.0,1400,1581,1.5,0,0,5,8,1909,0,98112,105,10.0
28,2014,438000,3,1.75,1520,6380,1.0,0,0,3,7,1948,0,98115,66,10.0
29,2015,719000,4,2.5,2570,7173,2.0,0,0,3,8,2005,0,98052,10,5.0
30,2014,580500,3,2.5,2320,3980,2.0,0,0,3,8,2003,0,98027,11,8.0
31,2014,280000,2,1.5,1190,1265,3.0,0,0,3,7,2005,0,98133,9,10.0
32,2014,687500,4,1.75,2330,5000,1.5,0,0,4,7,1929,0,98117,85,10.0
33,2014,535000,3,1.0,1090,3000,1.5,0,0,4,8,1929,0,98117,85,10.0
34,2014,322500,4,2.75,2060,6659,1.0,0,0,3,7,1981,0,98058,33,19.0
35,2014,696000,3,2.5,2300,3060,1.5,0,0,3,8,1930,2002,98115,84,10.0
36,2014,550000,4,1.0,1660,34848,1.0,0,0,1,5,1933,0,98052,81,5.0
37,2014,640000,4,2.0,2360,6000,2.0,0,0,4,8,1904,0,98107,110,10.0
38,2015,240000,4,1.0,1220,8075,1.0,0,0,2,7,1969,0,98001,46,23.0
39,2014,605000,4,2.5,2620,7553,2.0,0,0,3,8,1996,0,98056,18,19.0
40,2014,625000,4,2.5,2570,5520,2.0,0,0,3,9,2000,0,98074,14,4.0
41,2014,775000,4,2.25,4220,24186,1.0,0,0,3,8,1984,0,98166,30,10.0
42,2014,861990,5,2.75,3595,5639,2.0,0,0,3,9,2014,0,98053,0,5.0
43,2014,685000,3,1.0,1570,2280,2.0,0,0,3,7,1922,0,98119,92,10.0
44,2014,309000,3,1.0,1280,9656,1.0,0,0,4,6,1959,0,98058,55,19.0
45,2014,488000,3,2.5,3160,13603,2.0,0,0,3,8,2003,0,98019,11,17.0
46,2015,210490,3,1.0,990,8528,1.0,0,0,3,6,1966,0,98023,49,24.0
47,2014,785000,4,2.5,2290,13416,2.0,0,0,4,9,1981,0,98007,33,3.0
48,2015,450000,3,1.75,1250,5963,1.0,0,0,4,7,1953,0,98115,62,10.0
49,2015,1350000,3,2.5,2753,65005,1.0,1,2,5,9,1953,0,98070,62,13.0
50,2014,228000,3,1.0,1190,9199,1.0,0,0,3,7,1955,0,98148,59,10.0
51,2015,345000,5,2.5,3150,9134,1.0,0,0,4,8,1966,0,98056,49,19.0
52,2014,600000,3,1.75,1410,4080,1.0,0,0,4,7,1950,0,98117,64,10.0
53,2015,585000,2,1.75,1980,8550,1.0,0,0,3,7,1981,0,98117,34,10.0
54,2015,920000,5,2.25,2730,6000,1.5,0,0,3,8,1927,0,98105,88,10.0
55,2014,885000,4,2.5,2830,5000,2.0,0,0,3,9,1995,0,98105,19,10.0
56,2014,292500,4,2.5,2250,4495,2.0,0,0,3,7,2008,0,98042,6,22.0
57,2015,301000,3,2.5,2420,4750,2.0,0,0,3,8,2003,0,98042,12,22.0
58,2014,951000,5,3.25,3250,14342,2.0,0,4,4,8,1968,0,98008,46,3.0
59,2015,430000,4,3.0,1850,9976,2.0,0,0,3,8,1991,0,98059,24,19.0
60,2014,650000,3,2.25,2150,21235,1.0,0,3,4,8,1959,0,98166,55,10.0
61,2014,289000,3,1.75,1260,8400,1.0,0,0,3,7,1954,0,98148,60,10.0
62,2014,505000,3,1.75,2519,8690,2.0,0,0,5,8,1973,0,98166,41,10.0
63,2014,549000,3,1.75,1540,1044,3.0,0,0,3,8,2014,0,98115,0,10.0
64,2014,425000,3,2.25,1660,6000,1.0,0,0,3,7,1979,0,98122,35,10.0
65,2014,317625,3,2.75,2770,3809,1.5,0,0,5,7,1925,0,98144,89,10.0
66,2014,975000,4,2.5,2720,11049,2.0,0,0,3,10,1989,0,98004,25,3.0
67,2014,287000,4,2.5,2240,4648,2.0,0,0,3,7,2005,0,98001,9,23.0
68,2014,204000,3,1.0,1000,12070,1.0,0,0,4,7,1968,0,98042,46,22.0
69,2014,1330000,5,2.25,3200,20158,1.0,0,0,3,8,1965,0,98004,49,3.0
70,2014,1040000,5,3.25,4770,50094,1.0,0,0,4,11,1973,0,98005,41,3.0
71,2015,325000,3,2.0,1260,5612,1.0,0,0,4,7,1972,0,98034,43,6.0
72,2014,571000,4,2.0,2750,7807,1.5,0,0,5,7,1916,0,98125,98,10.0
73,2014,360000,4,2.5,2380,5000,2.0,0,0,3,8,2005,0,98038,9,20.0
74,2015,349000,3,1.75,1790,50529,1.0,0,0,5,7,1965,0,98042,50,22.0
75,2014,832500,4,4.0,3430,35102,2.0,0,0,4,10,1986,0,98075,28,4.0
76,2014,380000,4,1.75,1760,7300,1.0,0,0,3,7,1956,0,98008,58,3.0
77,2015,480000,3,1.0,1040,5060,1.0,0,0,3,7,1941,0,98116,74,10.0
78,2014,410000,3,1.0,1410,5060,1.0,0,0,4,7,1956,0,98133,58,10.0
79,2015,720000,4,2.5,3450,39683,2.0,0,0,3,10,2002,0,98010,13,18.0
80,2014,390000,3,2.5,2350,5100,2.0,0,0,3,8,2003,0,98038,11,20.0
81,2014,360000,4,2.5,1900,5889,2.0,0,0,3,7,1992,0,98038,22,20.0
82,2014,355000,2,1.0,2020,6720,1.0,0,0,3,7,1948,0,98118,66,10.0
83,2015,356000,3,1.5,1680,8712,1.0,0,0,3,8,1964,0,98059,51,19.0
84,2014,315000,3,1.0,960,6634,1.0,0,0,3,6,1952,0,98125,62,10.0
85,2014,940000,3,1.5,2140,3600,2.0,0,0,3,9,1925,0,98119,89,10.0
86,2014,305000,5,2.25,2660,8400,1.5,0,0,5,7,1961,0,98092,53,23.0
87,2014,461000,3,3.25,2770,6278,2.0,0,0,3,9,2006,0,98056,8,19.0
88,2014,215000,2,2.25,1610,2040,2.0,0,0,4,7,1979,0,98056,35,19.0
89,2014,335000,2,1.75,1030,1066,2.0,0,0,3,7,2006,0,98136,8,10.0
90,2014,243500,4,2.5,1980,7403,2.0,0,0,3,7,1988,0,98023,26,24.0
91,2015,1100000,5,2.75,3520,6353,2.0,0,0,4,10,2001,0,98199,14,10.0
92,2015,153000,3,1.0,1200,10500,1.0,0,0,3,7,1962,0,98023,53,24.0
93,2014,430000,3,1.5,1580,5000,1.0,0,0,3,8,1939,0,98117,75,10.0
94,2014,905000,4,2.5,3300,10250,1.0,0,0,3,7,1946,1991,98040,68,2.0
95,2015,247500,3,1.75,1960,15681,1.0,0,0,3,7,1967,0,98032,48,22.0
96,2014,199000,4,1.5,1160,6400,1.0,0,0,4,7,1975,0,98023,39,24.0
