,RF Prediction,XGB Prediction,Reg Prediction,Actual
0,509006.4846415487,489027.46875,467926.96234603436,480000.0
1,226520.37590302632,205640.703125,186425.29083104114,325000.0
2,894986.2599710018,898485.25,805468.3015367306,922000.0
3,188373.0301448362,203426.609375,218827.32208288743,151000.0
4,793036.0324605161,670561.5,582100.174816123,590000.0
5,399238.749402282,438115.65625,387650.6886501502,669000.0
6,433811.4692780837,424777.1875,395123.0746702939,330000.0
7,236887.1172908064,310258.0625,344260.8457198939,333000.0
8,674574.9245031868,647373.1875,670226.1678131629,734990.0
9,463987.35284105456,508404.84375,443628.1500536796,300000.0
10,212643.19246456426,212334.625,230761.95949793488,224000.0
11,483072.36148627504,374880.28125,377595.43409104086,385000.0
12,284732.93718211516,286704.9375,284762.26482296345,269000.0
13,279546.68401537125,413893.09375,425069.59078409796,407500.0
14,400128.7023925123,388029.78125,374160.4645879474,335000.0
15,345001.32016895514,349950.09375,380147.80074088374,262500.0
16,497188.66529518046,469914.75,483252.5732570759,481500.0
17,316616.54092717456,295506.1875,296428.1675708968,324500.0
18,606924.779377625,574297.8125,598302.2301552867,510000.0
19,247263.08112348232,240312.4375,292612.44196223497,315000.0
20,290705.8588440661,277136.5625,294398.57994187396,194250.0
21,241321.9383893055,235160.359375,293188.80335583654,280000.0
22,308959.2478659688,311152.34375,334574.00704120594,300000.0
23,360055.4497061863,398291.875,405030.69511165895,380000.0
24,472187.34156366903,445987.0625,420551.5669591782,389000.0
25,882335.5709381237,853982.6875,1051912.926149617,739999.0
26,449958.186873227,453321.90625,464477.01200936566,470000.0
27,381382.1716853673,364361.40625,327181.6869009233,360000.0
28,282375.02947059256,282767.3125,278573.29986204184,305000.0
29,738569.3395824434,739675.3125,677787.9198455001,767500.0
30,353570.1995240352,371785.625,350809.3739199158,385000.0
31,377012.51916055725,406760.71875,418973.8591229423,326000.0
32,422002.26482811105,458647.59375,475300.1184093833,412000.0
33,591898.0032956288,644693.75,634313.6409439583,779000.0
34,350474.2558396798,286880.53125,325381.795178917,260000.0
35,403146.13009155804,462411.9375,457690.3882868276,625000.0
