,RF Prediction,XGB Prediction,Reg Prediction,Actual
0,1191199.9523364287,1088039.5,1235205.4617729117,887000
1,1094556.8894236537,1200942.5,1393606.0279170563,1090000
2,492388.4179187218,490064.375,439626.2268657478,559950
3,424211.04017143167,378407.9375,386625.40946847806,608000
4,346274.5557430264,441575.40625,429856.5942554845,188500
5,436906.44948271365,434597.59375,440811.3986663756,433495
6,692672.0615553136,612188.0625,488988.2396700154,326000
7,675146.8249688601,657470.625,646905.497633207,485000
8,867319.4628746595,836763.4375,822776.2320226107,1130000
9,301471.19796291983,366579.5,364103.6467866137,249000
10,463577.2187504772,448020.46875,487294.03277245857,479000
11,511122.8972642645,470090.90625,505464.68973180675,580000
12,414396.8590248261,414370.5625,408624.4594722936,550000
13,713400.9973158273,707691.0,709410.3710745904,1310000
14,369054.6086233989,386969.53125,409911.12270837976,362500
15,396460.70523992507,477322.09375,457817.5799291754,430000
16,396107.137469043,416013.78125,436345.98708538304,336000
17,558870.4617303723,582668.9375,554241.9506570059,571500
18,150695.8925904539,207792.859375,232456.50142605,241500
19,561035.9976399431,529391.9375,508013.9312056235,549800
20,440172.8861909261,435389.125,423541.81871123397,352500
21,408642.9662228885,395623.375,370092.0431580598,649000
22,357766.83218212693,353466.90625,321166.8076881105,279000
23,528005.9374860291,515623.65625,527524.4443693261,494815
24,407279.240426385,403220.5625,395759.95502592524,600000
25,303770.88726302586,326611.75,335795.59747342754,290000
26,284433.52444637695,300551.03125,330183.6322016115,215000
27,449115.33834935236,465600.1875,429293.9559216731,593500
28,351770.24521374167,287143.84375,331242.9817207071,405000
29,257793.16951132557,281786.34375,260884.44332561846,244000
30,938638.5253731825,942876.875,964488.1498331776,789888
31,355589.8980590818,488640.53125,476122.6178025893,409900
32,298823.5478887016,307636.71875,325577.934199488,250000
33,474252.90990717325,467609.3125,503037.49172607437,440000
34,1662921.0381257145,1740034.125,1899752.6405643919,1130000
35,526762.6034093704,437029.40625,434934.9824321801,438000
36,312855.9246788975,327484.46875,348683.227422015,470000
37,450103.12011155643,468363.59375,464092.4800811867,580000
38,939750.9658252983,706664.5,618021.6217205083,300523
39,429905.01896122785,474853.96875,465682.15049408266,442500
40,296229.92290703364,362858.1875,384547.8814381001,371000
41,669948.8037950872,632221.1875,536497.0043020602,579000
42,400390.45925532345,405388.25,452535.67039342783,375000
43,382016.3637186124,439462.6875,438387.86693950533,437000
44,486832.1524643432,574858.9375,554206.5453983557,800000
45,523616.3346639218,562803.8125,484142.5081046467,734000
46,648461.6552615665,811236.3125,627316.0714728921,453000
47,549734.5742440084,539986.1875,562199.0502547192,613000
48,555979.1575714848,578337.5,608983.2764609425,475000
49,831153.6335540254,791962.0,1074777.9974403728,1090000
50,887884.4701228027,900392.9375,887979.8863729219,835000
51,830308.6413439253,911620.9375,957780.2290868924,975000
52,473171.0624829042,524744.9375,464744.8581495753,625000
53,419128.6386187079,389964.03125,436235.3302057565,399950
54,544618.7518031105,455426.5625,454652.9531544022,598950
55,408534.66458951705,459592.5,452799.29518649104,913000
56,238425.41326649673,234878.84375,250951.68736766966,203000
57,578614.7725371615,544652.8125,621674.1090948798,570000
58,671357.0994437175,674843.75,735101.9246545241,625000
59,646291.8468605279,639795.625,570220.2473404382,725000
60,1793665.0257759718,2057167.125,1430858.1256295058,2190000
61,355151.40406010073,385773.84375,350544.3080482507,505000
62,497946.13319522556,446759.6875,414784.91823331034,438000
63,827240.2571689758,828660.125,799622.6980958771,557500
64,454727.7899244669,426229.53125,403932.9755185933,440000
65,318091.760980762,303372.5625,333498.0430418908,299000
66,302816.34681333887,306620.65625,319475.2892469058,349000
67,265863.61975224054,284373.9375,300566.0317830323,100000
68,334363.7343391096,356939.03125,404721.0003085223,325000
69,621042.8001112109,641869.875,735137.2012586038,592500
70,526601.847307675,519045.65625,456271.2230544043,665000
71,702327.4473136584,676160.5,570951.0389082081,680000
72,443000.346513664,469036.3125,536313.5884371605,468000
73,553569.6429854926,591003.6875,552426.0962830089,515000
74,677842.3112505764,610057.875,576879.9377166422,429000
75,346544.22348358436,386727.90625,373051.0177943881,563000
76,637880.9966835553,647367.625,648063.2693350938,635000
77,442218.12765910104,488767.78125,440311.04330967856,427874
78,267579.5932954276,241454.390625,247440.47372933954,190000
79,222838.2556960732,266594.375,297215.85987959127,166000
80,560419.4123582084,486893.8125,457366.4682909525,314000
