,RF Prediction,XGB Prediction,Reg Prediction,actual
0,608246.7944499572,684670.0,537754.8954098724,830000.0
1,548389.6700067533,566382.25,485381.8703551089,495000.0
2,663380.0419819154,617716.625,557085.1915802138,638000.0
3,453917.4030420704,451045.4375,507908.90927007096,360000.0
4,270448.84855298593,266730.6875,389246.1062528288,255000.0
5,540720.7030937275,483215.375,428081.73759133933,350000.0
6,553626.2479094331,623620.3125,468020.08474922634,517500.0
7,212252.9154528421,228180.34375,312511.985469132,225000.0
8,292753.6739385918,324011.96875,301101.50412315654,305000.0
9,327280.32605040463,318132.1875,396332.7348007162,355000.0
10,374594.7398819074,401439.84375,391599.9457082576,239950.0
11,529162.1915627479,509597.5,413728.93160453014,650000.0
12,767940.3150485341,693287.25,670827.3628478412,920000.0
13,311120.701232185,305648.15625,445737.9904902681,322500.0
14,744796.9214692845,724357.3125,693396.2580372829,293000.0
15,513117.79395294684,464899.59375,367738.6117317956,330000.0
16,896367.2234701221,770820.6875,932079.494523469,939000.0
17,371580.54861423455,274993.25,387945.3485630791,190000.0
18,782834.3650852978,916004.5,701156.480265445,830200.0
19,580298.156872024,580230.75,461805.6875106276,500000.0
20,880176.500433381,865135.0625,819826.9213833548,1080000.0
21,265781.5227113122,258950.125,347478.7501302628,275000.0
22,539399.0032588927,614478.0,558993.4863232689,585000.0
23,340738.20340979367,331877.9375,286804.293908367,245000.0
24,603778.0703030004,617084.8125,521719.6272005045,599000.0
25,554389.0322133354,453465.46875,662059.7137654099,485000.0
26,704231.8836279821,681960.375,638316.0256062569,699900.0
27,630267.3649240949,647044.8125,548672.891104141,730000.0
28,287725.46786743763,289181.84375,367613.8659200231,284000.0
29,1271365.2382904424,1263041.375,1945594.5013474063,1150000.0
30,244793.69422953817,197703.515625,260869.69273016715,259950.0
31,483522.5671677937,496540.5,413211.5151039392,549950.0
32,827558.0506273848,704851.3125,768564.6891165636,845000.0
33,780283.7050350998,622003.0,709593.0415819386,665000.0
34,821856.9163993717,850730.375,1072769.0878827083,820000.0
35,640473.3271695181,597167.25,687179.0531679018,865000.0
36,541497.002807263,580159.375,556669.4951215658,700000.0
37,206385.49713473857,169913.546875,211032.49485939127,171500.0
38,961601.2172871843,956185.4375,1074866.5541972008,1180000.0
39,417442.60770274344,433611.0625,695522.3453360973,450000.0
40,277692.82082974655,271379.71875,360875.83142406616,260000.0
41,843669.3133312849,923837.875,795253.2563779464,760000.0
42,863784.3414322302,778143.875,802887.5664006984,825000.0
43,368138.2190419656,374367.96875,516260.6707824954,399000.0
44,365493.17953471217,417983.90625,324145.2331294929,542000.0
45,415373.34852896864,409272.8125,356022.91054129944,357500.0
46,194807.73074435708,185906.375,274825.14447481284,190000.0
47,356635.8676883051,385868.78125,379885.1171096288,430000.0
48,564633.9546394639,559026.1875,486789.68739909737,559500.0
49,232141.4148209281,239946.03125,296820.3778143508,239000.0
50,577209.3961141264,519470.03125,544642.6240287587,575000.0
51,794171.5049117615,803241.5625,633000.5213184336,834950.0
52,296278.35770166817,268629.4375,339024.8134778459,281000.0
53,256897.1881380959,312072.6875,234969.0416350751,208000.0
54,450476.9067076829,450301.875,381742.4562972039,410000.0
55,802916.469360377,774768.0,922553.4322147749,700000.0
56,478982.76281779254,445203.875,435230.2337069409,337000.0
57,544053.2038021954,542783.5,501583.58655759593,460000.0
58,246593.4292892692,246169.46875,328033.302465923,263000.0
59,703348.3076853701,712643.125,581829.4484614626,729500.0
60,821353.6910488928,928370.4375,726849.7885673658,1380000.0
61,234115.16967778796,253004.140625,332157.17949481966,263000.0
62,218296.65029946718,213870.640625,316221.32494045957,234000.0
63,985294.5314595838,910466.25,669814.8673859404,775000.0
64,226648.10782145592,247555.171875,268540.4613211174,129000.0
65,417480.37461549963,429413.5625,385422.17101931176,574000.0
66,2543529.0384515366,2910956.25,3423863.8668609587,2390000.0
67,813235.1345462092,685018.125,609081.3586045795,618000.0
68,507912.48077245045,528026.5625,461717.95643068716,450000.0
69,347096.6040679605,334689.25,513919.54820556403,329000.0
70,497970.17848997616,439500.8125,465910.9815347998,323000.0
71,381678.16937520844,640238.1875,358722.91146816965,700000.0
72,786965.2919542245,758797.125,629613.4103682857,800000.0
73,396719.9728075888,1258597.25,592026.8857428508,1200000.0
74,558475.7793828859,603322.0625,471452.5269349637,530000.0
75,334532.5711239733,369725.6875,481180.9554792137,399950.0
76,250320.89012935586,245192.671875,318773.9111795792,274950.0
77,503122.04258359695,441005.15625,368166.0810324795,425000.0
78,511221.5794936104,495570.6875,482191.20197936223,495000.0
79,955154.3720541705,1002262.0,911609.5571137685,969990.0
80,653313.4429850226,667983.5,628307.9973254725,720000.0
81,651102.8759822411,579771.625,628660.0108593078,808250.0
82,338769.5779323266,405875.28125,413313.65504684875,465000.0
83,961105.3695634196,1014436.1875,1216379.3379717104,722800.0
84,1014180.0777598184,712738.3125,754494.433281946,415000.0
85,198281.61158247443,210798.59375,292213.63922956825,240000.0
86,335557.213321074,296619.78125,280869.56717536144,194000.0
87,614712.7653926576,624515.4375,484624.41932132863,860000.0
88,282807.25952676125,266718.71875,346970.86050056445,270000.0
89,265548.0563189502,290678.8125,351728.54051218746,279500.0
90,557357.6725463527,511177.46875,392056.66662083415,732600.0
91,552137.5303851309,570044.375,429074.80659410113,635000.0
